ordem;url;status;tentativas
"1";"https://www.acorizal.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"2";"https://camaraacorizal.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"8";"https://www.altoboavista.mt.gov.br";"Sem resultado após 10 tentativas";"10"
"12";"https://www.camaradealtoparaguai.com.br/";"Sem resultado após 10 tentativas";"10"
"17";"https://www.araguaiana.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"18";"https://araguaiana.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"20";"https://araguainha.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"26";"https://camaraaripuanamt.com.br/index.php";"Sem resultado após 10 tentativas";"10"
"32";"https://www.baraodemelgaco.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"33";"https://baraodemelgaco.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"35";"https://www.bomjesusdoaraguaia.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"46";"https://www.camaracamposdejulio.mt.gov.br/home";"Sem resultado após 10 tentativas";"10"
"48";"https://canabravadonorte.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"49";"https://canarana.mt.gov.br/portal/";"Sem resultado após 10 tentativas";"10"
"59";"https://www.cocalinho.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"70";"https://www.confresa.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"76";"https://www.cisvarc.com.br/";"Sem resultado após 10 tentativas";"10"
"108";"https://www.generalcarneiro.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"113";"https://camaraguarantadonorte.mt.gov.br";"Sem resultado após 10 tentativas";"10"
"116";"https://www.indiavai.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"117";"https://indiavai.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"129";"https://jangada.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"131";"https://www.camarajauru.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"149";"https://www.luciara.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"150";"https://www.luciara.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"156";"https://amaramirassoldoeste.mt.gov.br";"Sem resultado após 10 tentativas";"10"
"164";"https://www.camaranovabandeirantes.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"166";"https://www.novabrasilandia.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"171";"https://cidesa.com.br/";"Sem resultado após 10 tentativas";"10"
"173";"https://www.novalacerda.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"188";"https://www.novaubirata.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"196";"https://novosantoantonio.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"208";"https://www.planaltodaserra.mt.gov.br";"Sem resultado após 10 tentativas";"10"
"209";"https://camaraplanaltodaserra.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"214";"https://www.prefeituradepontebranca-mt.com.br/";"Sem resultado após 10 tentativas";"10"
"215";"https://www.camarapontebranca.com.br/";"Sem resultado após 10 tentativas";"10"
"221";"https://www.portoalegredonorte.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"227";"https://camaraportoestrela.com.br/";"Sem resultado após 10 tentativas";"10"
"236";"https://www.ribeiraocascalheira.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"237";"https://camararibeiraocascalheira.com.br/";"Sem resultado após 10 tentativas";"10"
"247";"https://www.rosariooeste.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"259";"https://santoafonso.mt.leg.br/index.php";"Sem resultado após 10 tentativas";"10"
"263";"https://www.camaraleverger.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"280";"https://www.camarasaojosedoxingu.mt.gov.br/";"Sem resultado após 10 tentativas";"10"
"298";"https://torixoreu.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"300";"https://www.uniaodosul.mt.leg.br/";"Sem resultado após 10 tentativas";"10"
"310";"https://camaradevarzeagrande.com.br/";"Sem resultado após 10 tentativas";"10"
