"ordem_na_retentativa","url","erro_observado"
"60","https://www.ribeiraozinho.mt.gov.br/portal/ouvidoria/cadastro/1","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"62","https://rondolandia.mt.gov.br/ouvidoria?tipo=1","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"63","https://rondonopolis.ouvidoriabr.com/protocolo/novo/248","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"64","https://www.gp.srv.br/ouvidoria/rosariooeste/#/portal/1/manifestacao","AMAWeb excedeu 120s de espera."
"65","https://saltodoceu.mt.gov.br/ouvidoria/formulario-on-line","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"66","https://ouvidoria.santacarmem.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"67","https://ouvidoria.santacruzdoxingu.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"68","https://prefsrt.ouvidoriabr.com/protocolo/novo/35","sem linha de conclusão no log"
"69","https://ouvidoria.santaterezinha.mt.gov.br/ouvidoria/form","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"74","https://ouvidoria.serranovadourada.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"75","https://www.gp.srv.br/ouvidoria/sinop/#/portal/1/manifestacao","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"76","https://saofelixdoaraguaia.centi.com.br/ouvidoria","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"78","https://prefsjrc.ouvidoriabr.com/protocolo/novo/19","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"79","https://ouvidoria.saojosedoxingu.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"82","https://tabapora.ouvidoriabr.com/protocolo/novo/1247","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"83","https://tangaradaserra.1doc.com.br/b.php?pg=wp/wp&itd=4","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"86","https://ouvidoria.tesouro.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"87","https://ouvidoria.torixoreu.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"88","https://ouvidoria.uniaodosul.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"93","https://www.aguaboa.mt.gov.br/servicos/ouvidoria","AMAWeb excedeu 120s de espera."
