"ordem_na_retentativa","url","erro_observado"
"1","https://gws-sistemas.com.br/ouvidoria.pm.acorizal/novo-protocolo","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"2","https://ouvidoria.pm.altoboavista.gws-sistemas.com.br/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"3","https://araguaiana.mt.gov.br/ouvidoria-identificada","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"4","https://gws-sistemas.com.br/ouvidoria.pm.bomjesusdoaraguaia/novo-protocolo","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"5","https://www.canabravadonorte.org/transparencia/ouvidoria/cadastrar-manifestacao","AMAWeb excedeu 120s de espera."
"6","https://canarana.mt.gov.br/portal/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"7","https://www.cocalinho.mt.gov.br/ouvidoria-identificada","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"8","https://www.gws-sistemas.com.br/cartadeservico.pm.generalcarneiro/geral/ouvidoria-municipal","AMAWeb excedeu 120s de espera."
"9","https://gws-sistemas.com.br/ouvidoria.pm.indiavai/novo-protocolo","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"10","https://gws-sistemas.com.br/ouvidoria.pm.luciara","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"11","https://mirassoldoeste.flowdocs.com.br:2053/public/home/subject/3","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"13","https://flowdocs-novacanaadonortemt.i7sgp.app.br/public/home/group/1","AMAWeb excedeu 120s de espera."
"15","https://www.novaubirata.mt.gov.br/ouvidoria","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"17","https://prefeitura-de-planalto-da-serra.webnode.page/ouvidoria/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"18","https://acessoainformacao.pontaldoaraguaia.mt.gov.br/cidadao/ouvidoria/solicitacaoservico","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"20","https://gws-sistemas.com.br/ouvidoria.pm.ribeiraocascalheira/novo-protocolo","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"22","https://rondonopolis.ouvidoriabr.com/protocolo/novo/248","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"23","https://ouvidoria.santacruzdoxingu.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"27","https://www.aguaboa.mt.gov.br/servicos/ouvidoria","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
