"ordem_na_retentativa","url","erro_observado"
"1","https://gws-sistemas.com.br/ouvidoria.pm.acorizal/novo-protocolo","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"2","https://ouvidoria.pm.altoboavista.gws-sistemas.com.br/","Avaliação recusada pelo AMAWeb: DNS_LOOKUP_FAILED"
"3","https://araguaiana.mt.gov.br/ouvidoria-identificada","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"4","https://gws-sistemas.com.br/ouvidoria.pm.bomjesusdoaraguaia/novo-protocolo","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"5","https://www.canabravadonorte.org/transparencia/ouvidoria/cadastrar-manifestacao","AMAWeb excedeu 120s de espera."
"6","https://canarana.mt.gov.br/portal/","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"7","https://www.cocalinho.mt.gov.br/ouvidoria-identificada","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"8","https://www.gws-sistemas.com.br/cartadeservico.pm.generalcarneiro/geral/ouvidoria-municipal","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"9","https://gws-sistemas.com.br/ouvidoria.pm.indiavai/novo-protocolo","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"12","https://gws-sistemas.com.br/ouvidoria.pm.luciara","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"13","https://mirassoldoeste.flowdocs.com.br:2053/public/home/subject/3","Avaliação recusada pelo AMAWeb: DNS_LOOKUP_FAILED"
"14","https://ouvidoria.novabandeirantes.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"15","https://flowdocs-novacanaadonortemt.i7sgp.app.br/public/home/group/1","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"17","https://prefnm.ouvidoriabr.com/protocolo/novo/2","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"19","https://www.novaubirata.mt.gov.br/ouvidoria","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"20","https://ouvidoria.novosantoantonio.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"22","https://prefeitura-de-planalto-da-serra.webnode.page/ouvidoria/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"23","https://acessoainformacao.pontaldoaraguaia.mt.gov.br/cidadao/ouvidoria/solicitacaoservico","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"24","https://www.prefeituradepontebranca-mt.com.br/contato","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"27","https://gws-sistemas.com.br/ouvidoria.pm.ribeiraocascalheira/novo-protocolo","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"28","https://www.ribeiraozinho.mt.gov.br/portal/ouvidoria/cadastro/1","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"29","https://rondonopolis.ouvidoriabr.com/protocolo/novo/248","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"31","https://ouvidoria.santacruzdoxingu.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"34","https://www.gp.srv.br/ouvidoria/sinop/#/portal/1/manifestacao","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"37","https://tabapora.ouvidoriabr.com/protocolo/novo/1247","AMAWeb excedeu 120s de espera."
"38","https://tangaradaserra.1doc.com.br/b.php?pg=wp/wp&itd=4","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"39","https://www.aguaboa.mt.gov.br/servicos/ouvidoria","AMAWeb excedeu 120s de espera."
