ordem,url,download_http,bytes,titulo,nota,cloudflare_marker,html,json,pdf,erro
1,https://arenapolis.mt.leg.br/,200,93579,Câmara Municipal de Arenápolis,3.5,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/download_arenapolis.mt.leg.br_001.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_arenapolis.mt.leg.br_001.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_arenapolis.mt.leg.br_001.pdf,
2,https://cindvale.com.br,200,28563,Página inicial,5.6,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/download_cindvale.com.br_002.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_cindvale.com.br_002.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_cindvale.com.br_002.pdf,
3,https://curvelandia.mt.leg.br/,200,118076,Câmara Municipal de Curvelândia,8.1,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/download_curvelandia.mt.leg.br_003.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_curvelandia.mt.leg.br_003.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_curvelandia.mt.leg.br_003.pdf,
5,https://lambaridoeste.mt.gov.br,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/download_lambaridoeste.mt.gov.br_005.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_lambaridoeste.mt.gov.br_005.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_lambaridoeste.mt.gov.br_005.pdf,
4,https://figueiropolisdoeste.mt.leg.br/,200,64580,Câmara Municipal de Figueirópolis d´Oeste,5.4,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/download_figueiropolisdoeste.mt.leg.br_004.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_figueiropolisdoeste.mt.leg.br_004.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_figueiropolisdoeste.mt.leg.br_004.pdf,
6,https://lambaridoeste.mt.leg.br/,200,73482,Câmara Municipal de Lambari D‘Oeste,8.1,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/download_lambaridoeste.mt.leg.br_006.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_lambaridoeste.mt.leg.br_006.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_lambaridoeste.mt.leg.br_006.pdf,
9,https://reservadocabacal.mt.leg.br/,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/download_reservadocabacal.mt.leg.br_009.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_reservadocabacal.mt.leg.br_009.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_reservadocabacal.mt.leg.br_009.pdf,
7,https://portodosgauchos.mt.leg.br/#/home,200,465304,Câmara Municipal de Porto dos Gaúchos,5.8,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/download_portodosgauchos.mt.leg.br_007.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_portodosgauchos.mt.leg.br_007.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_portodosgauchos.mt.leg.br_007.pdf,
10,https://riobranco.mt.gov.br/,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/download_riobranco.mt.gov.br_010.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_riobranco.mt.gov.br_010.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_riobranco.mt.gov.br_010.pdf,
8,https://primaveradoleste.mt.gov.br/,200,138209,Página Inicial - Prefeitura de Primavera do Leste Primavera do Leste - MT,8.9,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/download_primaveradoleste.mt.gov.br_008.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_primaveradoleste.mt.gov.br_008.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-11-10/accessmonitor_primaveradoleste.mt.gov.br_008.pdf,
