contexto,ordem,municipio,portal_oficial,url_informada,url_avaliada,status_validacao_browser,titulo,nota,praticas,aceitaveis,nao_aceitaveis,verificar_manual,json,pdf,erro
mt,224,,,https://www.portoesperidiao.mt.gov.br/,https://www.portoesperidiao.mt.gov.br/,,Página Inicial - Prefeitura Municipal de Porto Esperidião,8.3,42,416,55,49,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_www.portoesperidiao.mt.gov.br_001.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_www.portoesperidiao.mt.gov.br_001.pdf,
mt,225,,,https://www.camaraportoesperidiao.mt.gov.br/,https://www.camaraportoesperidiao.mt.gov.br/,,Página Inicial - Câmara Municipal de Porto Esperidião - MT,8.5,37,454,88,41,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_www.camaraportoesperidiao.mt.gov.br_002.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_www.camaraportoesperidiao.mt.gov.br_002.pdf,
mt,228,,,https://www.poxoreu.mt.gov.br/,https://www.poxoreu.mt.gov.br/,,Página Inicial - Prefeitura Municipal de Poxoréu - MT,7.4,41,420,43,68,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_www.poxoreu.mt.gov.br_005.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_www.poxoreu.mt.gov.br_005.pdf,
mt,227,,,https://camaraportoestrela.com.br/,https://camaraportoestrela.com.br/,,,,,,,,,,"API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly9jYW1hcmFwb3J0b2VzdHJlbGEuY29tLmJyLw%3D%3D"",""timestamp"":""2026-09-21T23:19:41.585Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sit"
mt,230,,,https://primaveradoleste.mt.gov.br/,https://primaveradoleste.mt.gov.br/,,Access denied | www.primaveradoleste.mt.gov.br used Cloudflare to restrict access | www.primaveradoleste.mt.gov.br | Cloudflare,8.8,18,31,28,3,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_primaveradoleste.mt.gov.br_007.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_primaveradoleste.mt.gov.br_007.pdf,
mt,226,,,https://www.portoestrela.mt.gov.br/,https://www.portoestrela.mt.gov.br/,,,,,,,,,,Avaliação excedeu 120s.
mt,232,,,https://www.querencia.mt.gov.br/,https://www.querencia.mt.gov.br/,,Página Inicial Prefeitura Municipal de Querência,5.7,38,501,253,34,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_www.querencia.mt.gov.br_009.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_www.querencia.mt.gov.br_009.pdf,
mt,231,,,https://www.primaveradoleste.mt.leg.br/,https://www.primaveradoleste.mt.leg.br/,,Página Inicial - Câmara Municipal de Primavera do Leste - MT,7.9,39,419,28,51,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_www.primaveradoleste.mt.leg.br_008.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_www.primaveradoleste.mt.leg.br_008.pdf,
mt,234,,,https://www.reservadocabacal.mt.gov.br/,https://www.reservadocabacal.mt.gov.br/,,Access denied | www.reservadocabacal.mt.gov.br used Cloudflare to restrict access | www.reservadocabacal.mt.gov.br | Cloudflare,8.7,17,30,28,3,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_www.reservadocabacal.mt.gov.br_011.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_www.reservadocabacal.mt.gov.br_011.pdf,
mt,235,,,https://reservadocabacal.mt.leg.br/,https://reservadocabacal.mt.leg.br/,,Access denied | reservadocabacal.mt.leg.br used Cloudflare to restrict access | reservadocabacal.mt.leg.br | Cloudflare,8.7,17,30,28,3,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_reservadocabacal.mt.leg.br_012.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-17-54/accessmonitor_reservadocabacal.mt.leg.br_012.pdf,
