ordem;url;titulo;nota;status;json;pdf
"98";"https://www.diamantino.mt.gov.br/";"Página Principal - Prefeitura de Diamantino";"7.2";"Concluída";"amaweb_www.diamantino.mt.gov.br_098.json";"amaweb_www.diamantino.mt.gov.br_098.pdf"
"99";"https://www.diamantino.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"100";"https://www.domaquino.mt.gov.br/";"Prefeitura Municipal de Dom Aquino";"6.8";"Concluída";"amaweb_www.domaquino.mt.gov.br_100.json";"amaweb_www.domaquino.mt.gov.br_100.pdf"
"101";"https://domaquino.oxy.elotech.com.br/portaltransparencia/3/";"Portal Transparência";"6.0";"Concluída";"amaweb_domaquino.oxy.elotech.com.br_101.json";"amaweb_domaquino.oxy.elotech.com.br_101.pdf"
"102";"https://www.feliznatal.mt.gov.br/home";"Prefeitura de Feliz Natal";"6.3";"Concluída";"amaweb_www.feliznatal.mt.gov.br_102.json";"amaweb_www.feliznatal.mt.gov.br_102.pdf"
"103";"https://www.feliznatal.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"104";"https://figueiropolisdoeste.mt.gov.br/";"Prefeitura Municipal de Figueirópolis d' Oeste-MT";"6.6";"Concluída";"amaweb_figueiropolisdoeste.mt.gov.br_104.json";"amaweb_figueiropolisdoeste.mt.gov.br_104.pdf"
"105";"https://figueiropolisdoeste.mt.leg.br/";"Access denied | figueiropolisdoeste.mt.leg.br used Cloudflare to restrict access | figueiropolisdoeste.mt.leg.br | Cloudflare";"9.6";"Concluída";"amaweb_figueiropolisdoeste.mt.leg.br_105.json";"amaweb_figueiropolisdoeste.mt.leg.br_105.pdf"
"106";"https://www.gauchadonorte.mt.gov.br/";"Prefeitura Municipal de Gaúcha do Norte MT";"8.0";"Concluída";"amaweb_www.gauchadonorte.mt.gov.br_106.json";"amaweb_www.gauchadonorte.mt.gov.br_106.pdf"
"107";"https://www.gauchadonorte.mt.leg.br/";"Câmara de Vereadores de Gaúcha do Norte";"7.9";"Concluída";"amaweb_www.gauchadonorte.mt.leg.br_107.json";"amaweb_www.gauchadonorte.mt.leg.br_107.pdf"
"108";"https://www.generalcarneiro.mt.gov.br/";"";"";"Falha AMAWeb";"";""
"109";"http://www.camarageneralcarneiro.mt.gov.br/";"Câmara Municipal de General Carneiro – MT – A casa do povo Generalcarneirense";"8.5";"Concluída";"amaweb_www.camarageneralcarneiro.mt.gov.br_109.json";"amaweb_www.camarageneralcarneiro.mt.gov.br_109.pdf"
"110";"https://www.gloriadoeste.mt.gov.br/";"";"";"Falha AMAWeb";"";""
"111";"https://www.gloriadoeste.mt.leg.br/";"Access denied | www.gloriadoeste.mt.leg.br used Cloudflare to restrict access | www.gloriadoeste.mt.leg.br | Cloudflare";"9.6";"Concluída";"amaweb_www.gloriadoeste.mt.leg.br_111.json";"amaweb_www.gloriadoeste.mt.leg.br_111.pdf"
