url,status,score,title,json,pdf,html
https://www.aguaboa.mt.gov.br/,avaliado_com_titulo,7.4,Prefeitura Municipal de Água Boa - MT,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry2/2026-09-21/20-43-49/amaweb_www.aguaboa.mt.gov.br_005.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry2/2026-09-21/20-43-49/amaweb_www.aguaboa.mt.gov.br_005.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry2/2026-09-21/20-43-49/amaweb_www.aguaboa.mt.gov.br_005.html
https://www.boaesperancadonorte.mt.gov.br/,avaliado_com_titulo,6.3,Prefeitura Municipal de Boa Esperança do Norte,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.boaesperancadonorte.mt.gov.br_010.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.boaesperancadonorte.mt.gov.br_010.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.boaesperancadonorte.mt.gov.br_010.html
https://www.castanheira.mt.leg.br/,avaliado_com_titulo,6.5,Câmara de Castanheira - Poder Legislativo Municipal,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.castanheira.mt.leg.br_019.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.castanheira.mt.leg.br_019.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.castanheira.mt.leg.br_019.html
https://www.cismasaude.com.br/,avaliado_com_titulo,7.7,Página Inicial - Consórcio Intermunicipal de Saúde do Médio Araguaia (CISMA),/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.cismasaude.com.br_020.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.cismasaude.com.br_020.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.cismasaude.com.br_020.html
https://www.cotriguacu.mt.gov.br/,avaliado_com_titulo,8.8,Prefeitura Municipal de Cotriguaçu,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.cotriguacu.mt.gov.br_021.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.cotriguacu.mt.gov.br_021.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.cotriguacu.mt.gov.br_021.html
https://www.curvelandia.mt.gov.br/,avaliado_sem_titulo,3.4,,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.curvelandia.mt.gov.br_022.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.curvelandia.mt.gov.br_022.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.curvelandia.mt.gov.br_022.html
https://www.denise.mt.gov.br/,avaliado_com_titulo,4.2,Prefeitura Municipal de Denise,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.denise.mt.gov.br_023.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.denise.mt.gov.br_023.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.denise.mt.gov.br_023.html
https://www.gloriadoeste.mt.gov.br/,avaliado_sem_titulo,3.4,,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.gloriadoeste.mt.gov.br_011.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.gloriadoeste.mt.gov.br_011.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.gloriadoeste.mt.gov.br_011.html
https://www.gloriadoeste.mt.leg.br/,avaliado_sem_titulo,3.4,,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.gloriadoeste.mt.leg.br_012.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.gloriadoeste.mt.leg.br_012.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.gloriadoeste.mt.leg.br_012.html
https://www.juruena.mt.gov.br/,avaliado_com_titulo,9.6,Prefeitura Municipal,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.juruena.mt.gov.br_013.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.juruena.mt.gov.br_013.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.juruena.mt.gov.br_013.html
https://www.mirassoldoeste.mt.gov.br/,avaliado_com_titulo,5.5,Prefeitura de Mirassol D Oeste - MT,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.mirassoldoeste.mt.gov.br_014.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.mirassoldoeste.mt.gov.br_014.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry/2026-09-21/20-42-40/amaweb_www.mirassoldoeste.mt.gov.br_014.html
https://www.nascentesdopantanal.org.br/,avaliado_sem_titulo,3.4,,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.nascentesdopantanal.org.br_028.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.nascentesdopantanal.org.br_028.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.nascentesdopantanal.org.br_028.html
https://www.pocone.mt.gov.br/,avaliado_com_titulo,9.8,Prefeitura de Poconé - MT,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry2/2026-09-21/20-43-49/amaweb_www.pocone.mt.gov.br_006.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry2/2026-09-21/20-43-49/amaweb_www.pocone.mt.gov.br_006.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry2/2026-09-21/20-43-49/amaweb_www.pocone.mt.gov.br_006.html
https://www.primaveradoleste.mt.gov.br/,avaliado_com_titulo,9.3,Página Inicial - Prefeitura de Primavera do Leste Primavera do Leste - MT,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.primaveradoleste.mt.gov.br_030.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.primaveradoleste.mt.gov.br_030.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.primaveradoleste.mt.gov.br_030.html
https://www.reservadocabacal.mt.gov.br/,avaliado_sem_titulo,3.4,,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.reservadocabacal.mt.gov.br_031.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.reservadocabacal.mt.gov.br_031.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.reservadocabacal.mt.gov.br_031.html
https://www.ribeiraozinho.mt.gov.br/,avaliado_com_titulo,9.8,Prefeitura Municipal de Ribeirãozinho - MT,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.ribeiraozinho.mt.gov.br_032.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.ribeiraozinho.mt.gov.br_032.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.ribeiraozinho.mt.gov.br_032.html
https://www.santaterezinha.mt.leg.br/,avaliado_com_titulo,8.5,Câmara Municipal de Santa Terezinha - MT,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry2/2026-09-21/20-43-49/amaweb_www.santaterezinha.mt.leg.br_007.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry2/2026-09-21/20-43-49/amaweb_www.santaterezinha.mt.leg.br_007.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare_retry2/2026-09-21/20-43-49/amaweb_www.santaterezinha.mt.leg.br_007.html
https://www.serranovadourada.mt.leg.br/,avaliado_com_titulo,8.1,Câmara Municipal - Início,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.serranovadourada.mt.leg.br_034.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.serranovadourada.mt.leg.br_034.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.serranovadourada.mt.leg.br_034.html
https://www.sinop.mt.gov.br/,avaliado_com_titulo,9.6,Prefeitura Municipal de Sinop - MT,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.sinop.mt.gov.br_035.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.sinop.mt.gov.br_035.pdf,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt_html_cloudflare/2026-09-21/20-40-07/amaweb_www.sinop.mt.gov.br_035.html
