ordem,url,download_http,bytes,titulo,nota,cloudflare_marker,html,json,pdf,erro
2,https://riobranco.mt.gov.br/,200,101781,Prefeitura Municipal de Rio Branco,8.3,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/download_riobranco.mt.gov.br_002.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_riobranco.mt.gov.br_002.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_riobranco.mt.gov.br_002.pdf,
1,https://reservadocabacal.mt.leg.br/,200,68848,Câmara Municipal de Reserva do Cabaçal,8.6,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/download_reservadocabacal.mt.leg.br_001.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_reservadocabacal.mt.leg.br_001.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_reservadocabacal.mt.leg.br_001.pdf,
5,https://riobranco.mt.leg.br/,200,75699,Câmara Municipal de Rio Branco,8.2,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/download_riobranco.mt.leg.br_005.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_riobranco.mt.leg.br_005.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_riobranco.mt.leg.br_005.pdf,
4,https://saltodoceu.mt.gov.br/,200,124982,Prefeitura Municipal de Salto do Céu,8.0,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/download_saltodoceu.mt.gov.br_004.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_saltodoceu.mt.gov.br_004.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_saltodoceu.mt.gov.br_004.pdf,
7,https://gloriadoeste.mt.gov.br/ouvidoria/formulario-on-line,200,82351,Prefeitura Municipal de Glória D‘Oeste,7.5,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/download_gloriadoeste.mt.gov.br_007.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_gloriadoeste.mt.gov.br_007.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_gloriadoeste.mt.gov.br_007.pdf,
6,https://www.reservadocabacal.mt.gov.br/,200,97655,Prefeitura Municipal de Reserva do Cabaçal,7.7,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/download_www.reservadocabacal.mt.gov.br_006.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_www.reservadocabacal.mt.gov.br_006.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_www.reservadocabacal.mt.gov.br_006.pdf,
9,https://reservadocabacal.mt.gov.br/ouvidoria/formulario-on-line,200,84763,Ouvidoria da Prefeitura Municipal de Reserva do Cabaçal,7.9,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/download_reservadocabacal.mt.gov.br_009.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_reservadocabacal.mt.gov.br_009.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_reservadocabacal.mt.gov.br_009.pdf,
8,https://lambaridoeste.mt.gov.br/ouvidoria/formulario-on-line,200,84132,Prefeitura Municipal de Lambari D‘Oeste,7.9,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/download_lambaridoeste.mt.gov.br_008.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_lambaridoeste.mt.gov.br_008.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_lambaridoeste.mt.gov.br_008.pdf,
10,https://saltodoceu.mt.gov.br/ouvidoria/formulario-on-line,200,111071,Prefeitura Municipal de Salto do Céu,7.4,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/download_saltodoceu.mt.gov.br_010.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_saltodoceu.mt.gov.br_010.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_saltodoceu.mt.gov.br_010.pdf,
3,https://lambaridoeste.mt.gov.br,200,87490,Prefeitura Municipal de Lambari D‘Oeste,7.8,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/download_lambaridoeste.mt.gov.br_003.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_lambaridoeste.mt.gov.br_003.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/09-57-19/accessmonitor_lambaridoeste.mt.gov.br_003.pdf,
