ordem,url,download_http,bytes,titulo,nota,cloudflare_marker,html,json,pdf,erro
4,https://camaraacorizal.mt.gov.br/,,,,,,,,,"API HTML respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/html"",""timestamp"":""2026-09-22T14:08:05.423Z"",""stack"":""TypeError: Cannot read properties of undefined (reading 'modules')\n    at getElementsMapping (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/mapping.ts:2092:45)\n    at parseEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src"
6,https://camaraguarantadonorte.mt.gov.br,,,,,,,,,"Não foi possível baixar HTML: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'camaraguarantadonorte.mt.gov.br'. (_ssl.c:1033)"
2,https://araguainha.mt.leg.br/,,,,,,,,,"API HTML respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/html"",""timestamp"":""2026-09-22T14:08:06.750Z"",""stack"":""TypeError: Cannot read properties of undefined (reading 'modules')\n    at getElementsMapping (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/mapping.ts:2092:45)\n    at parseEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src"
3,https://baraodemelgaco.mt.leg.br/,,,,,,,,,"API HTML respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/html"",""timestamp"":""2026-09-22T14:08:06.785Z"",""stack"":""TypeError: Cannot read properties of undefined (reading 'modules')\n    at getElementsMapping (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/mapping.ts:2092:45)\n    at parseEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src"
1,https://araguaiana.mt.leg.br/,,,,,,,,,"API HTML respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/html"",""timestamp"":""2026-09-22T14:08:06.805Z"",""stack"":""TypeError: Cannot read properties of undefined (reading 'modules')\n    at getElementsMapping (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/mapping.ts:2092:45)\n    at parseEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src"
5,https://camaraaripuanamt.com.br/index.php,,,,,,,,,"API HTML respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/html"",""timestamp"":""2026-09-22T14:08:08.028Z"",""stack"":""TypeError: Cannot read properties of undefined (reading 'modules')\n    at getElementsMapping (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/mapping.ts:2092:45)\n    at parseEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src"
7,https://camaraplanaltodaserra.mt.gov.br/,,,,,,,,,"API HTML respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/html"",""timestamp"":""2026-09-22T14:08:17.537Z"",""stack"":""TypeError: Cannot read properties of undefined (reading 'modules')\n    at getElementsMapping (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/mapping.ts:2092:45)\n    at parseEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src"
10,https://canabravadonorte.mt.leg.br/,,,,,,,,,"API HTML respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/html"",""timestamp"":""2026-09-22T14:08:19.434Z"",""stack"":""TypeError: Cannot read properties of undefined (reading 'modules')\n    at getElementsMapping (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/mapping.ts:2092:45)\n    at parseEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src"
11,https://cidesa.com.br/,,,,,,,,,"API HTML respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/html"",""timestamp"":""2026-09-22T14:08:19.838Z"",""stack"":""TypeError: Cannot read properties of undefined (reading 'modules')\n    at getElementsMapping (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/mapping.ts:2092:45)\n    at parseEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src"
12,https://cisrnm.com.br/#/home,200,15419,Consórcio Intermunicipal de Saúde Da Região Norte Matogrossense,6.6,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/10-07-53/download_cisrnm.com.br_012.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/10-07-53/accessmonitor_cisrnm.com.br_012.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-22/10-07-53/accessmonitor_cisrnm.com.br_012.pdf,
