ordem,url,download_http,bytes,titulo,nota,cloudflare_marker,html,json,pdf,erro
3,https://lambaridoeste.mt.gov.br,,,,,,,,,Não foi possível acessar avaliação HTML local: [Errno 111] Connection refused
2,https://riobranco.mt.gov.br/,,,,,,,,,Não foi possível acessar avaliação HTML local: [Errno 111] Connection refused
1,https://reservadocabacal.mt.leg.br/,,,,,,,,,Não foi possível acessar avaliação HTML local: [Errno 111] Connection refused
4,https://saltodoceu.mt.gov.br/,,,,,,,,,Não foi possível acessar avaliação HTML local: [Errno 111] Connection refused
5,https://riobranco.mt.leg.br/,,,,,,,,,Não foi possível acessar avaliação HTML local: [Errno 111] Connection refused
6,https://www.reservadocabacal.mt.gov.br/,,,,,,,,,Não foi possível acessar avaliação HTML local: [Errno 111] Connection refused
7,https://gloriadoeste.mt.gov.br/ouvidoria/formulario-on-line,,,,,,,,,Não foi possível acessar avaliação HTML local: [Errno 111] Connection refused
8,https://lambaridoeste.mt.gov.br/ouvidoria/formulario-on-line,,,,,,,,,Não foi possível acessar avaliação HTML local: [Errno 111] Connection refused
9,https://reservadocabacal.mt.gov.br/ouvidoria/formulario-on-line,,,,,,,,,Não foi possível acessar avaliação HTML local: [Errno 111] Connection refused
11,https://www.riobranco.mt.gov.br/ouvidoria/formulario-on-line,,,,,,,,,Não foi possível acessar avaliação HTML local: [Errno 111] Connection refused
10,https://saltodoceu.mt.gov.br/ouvidoria/formulario-on-line,,,,,,,,,Não foi possível acessar avaliação HTML local: [Errno 111] Connection refused
12,https://www.valedesaodomingos.mt.gov.br/ouvidoria/formulario-on-line,,,,,,,,,Não foi possível acessar avaliação HTML local: [Errno 111] Connection refused
